This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-10833144 (margin) since 1/17/15 through 1/21/15

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,FEES,COMMISSIONS,AMOUNT,BALANCE
1/17/15,01:00:00,BAL,,Cash balance at the start of business day 17.01 CST,,,,"98,855.18"
1/18/15,01:00:00,BAL,,Cash balance at the start of business day 18.01 CST,,,,"98,855.18"
1/19/15,01:00:00,BAL,,Cash balance at the start of business day 19.01 CST,,,,"98,855.18"
1/20/15,01:00:00,BAL,,Cash balance at the start of business day 20.01 CST,,,,"98,855.18"
1/21/15,01:00:00,BAL,,Cash balance at the start of business day 21.01 CST,,,,"98,855.18"
,,,,TOTAL,,,,"$98,855.18"

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Fees,Commissions,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions,Amount,Amount(USD),Balance
,1/17/15,01:00:00,BAL,--,Cash balance at the start of the business day 17.01 CST,--,--,--,"$10,111.99"
,1/18/15,01:00:00,BAL,--,Cash balance at the start of the business day 18.01 CST,--,--,--,"$10,111.99"
,1/18/15,18:06:36,TRD,468373849,"BOT +10,000 USD/JPY @117.481",--,--,--,"$10,111.99"
,1/18/15,18:13:55,TRD,468374516,"SOLD -10,000 USD/JPY @117.447",--,-340.00,($2.88),"$10,109.11"
,1/18/15,22:21:09,TRD,468395071,"SOLD -10,000 AUD/USD @.82053",--,--,--,"$10,109.11"
,1/18/15,23:55:02,TRD,468402476,"BOT +10,000 USD/JPY @117.01",--,--,--,"$10,109.11"
,1/19/15,01:00:00,BAL,--,Cash balance at the start of the business day 19.01 CST,--,--,--,"$10,109.11"
,1/19/15,18:13:41,ROLL,--,Rollover,--,0.00,$0.00,"$10,109.10"
,1/19/15,20:19:27,TRD,468585715,"SOLD -10,000 USD/JPY @118.113",--,"11,030.00",$93.31,"$10,202.42"
,1/19/15,20:38:31,TRD,468592850,"BOT +10,000 AUD/USD @.81785",--,26.80,$26.80,"$10,229.22"
,1/19/15,20:40:16,TRD,468592276,"BOT +10,000 AUD/USD @.81812",--,--,--,"$10,229.22"
,1/19/15,21:02:45,TRD,468602174,"SOLD -10,000 USD/JPY @118.209",--,--,--,"$10,229.22"
,1/19/15,21:19:37,TRD,468609490,"SOLD -10,000 AUD/USD @.81851",--,3.90,$3.90,"$10,233.12"
,1/19/15,21:24:07,TRD,468609165,"BOT +10,000 USD/JPY @118.183",--,260.00,$2.20,"$10,235.32"
,1/20/15,01:00:00,BAL,--,Cash balance at the start of the business day 20.01 CST,--,--,--,"$10,235.32"
,1/20/15,14:44:53,TRD,468925222,"SOLD -10,000 GBP/JPY @180.087",--,--,--,"$10,235.32"
,1/20/15,15:54:29,TRD,468952748,"BOT +10,000 GBP/JPY @179.858",--,"2,290.00",$19.35,"$10,254.67"
,1/20/15,16:47:07,TRD,468961133,"BOT +10,000 NZD/USD @.76425",--,--,--,"$10,254.67"
,1/20/15,17:54:14,ROLL,--,Rollover,--,--,--,"$10,254.67"
,1/20/15,18:52:24,TRD,468997877,"SOLD -10,000 AUD/USD @.81593",--,--,--,"$10,254.67"
,1/20/15,19:47:58,TRD,469017198,"SOLD -10,000 NZD/USD @.76436",--,1.10,$1.10,"$10,255.77"
,1/20/15,20:53:34,TRD,469044965,"BOT +10,000 USD/JPY @118.463",--,--,--,"$10,255.77"
,1/20/15,22:29:17,TRD,469044965,"SOLD -10,000 USD/JPY @118.063",--,"-4,000.00",($33.80),"$10,221.97"
,1/20/15,22:58:30,TRD,469098630,"tIP BOT +10,000 AUD/USD @.821",--,-50.70,($50.70),"$10,171.27"
,1/20/15,23:19:17,TRD,469107131,"BOT +10,000 USD/JPY @117.824",--,--,--,"$10,171.27"
,1/20/15,23:26:07,TRD,469107177,"BOT +10,000 AUD/USD @.82198",--,--,--,"$10,171.27"
,1/21/15,01:00:00,BAL,--,Cash balance at the start of the business day 21.01 CST,--,--,--,"$10,171.27"
,1/21/15,01:54:21,TRD,469107131,"SOLD -10,000 USD/JPY @117.424",--,--,--,"$10,171.27"
,1/21/15,03:47:34,TRD,469107177,"SOLD -10,000 AUD/USD @.81798",--,-35.10,($35.10),"$10,136.17"
,1/21/15,10:14:00,TRD,469230664,"BOT +10,000 AUD/USD @.81806",--,--,--,"$10,136.17"
,1/21/15,10:25:13,TRD,469239943,"SOLD -10,000 USD/CAD @1.23055",--,--,--,"$10,136.17"
,1/21/15,11:18:22,TRD,469277235,"SOLD -10,000 AUD/USD @.81159",--,-81.85,($81.85),"$10,054.32"
,1/21/15,11:23:14,TRD,469280507,"BOT +10,000 USD/CAD @1.23396",--,-34.10,($27.60),"$10,026.72"
,1/21/15,18:13:47,ROLL,--,Rollover,--,--,--,"$10,026.72"
,1/21/15,22:29:19,TRD,469535567,"BOT +10,000 AUD/USD @.80672",--,--,--,"$10,026.72"
,1/21/15,22:30:54,TRD,469535594,"BOT +10,000 USD/JPY @118.343",--,"-9,190.00",($77.84),"$9,948.88"

 
"Total Cash $488,053.17"


Account Order History
Notes,Time Placed,Spread,Side,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,1/21/15 23:22:56,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,.81533,LMT,GTC,WORKING
,,RE #469535569,,,,,,,,,,
,,TRG BY #469535567,,,,,,,,,,
,,OCO #469535568,,,,,,,,,,
,1/21/15 22:30:54,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,WORKING
,,TRG BY #469535594,,,,,,,TRG-.40,STP,STD,
,,OCO #469535595,,,,,,,117.943,STP,,
,1/21/15 22:30:54,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,WORKING
,,TRG BY #469535594,,,,,,,118.743,LMT,,
,,OCO #469535595,,,,,,,,,,
,1/21/15 22:30:54,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,1/21/15 22:29:18,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,WORKING
,,TRG BY #469535567,,,,,,,TRG-.004,STP,STD,
,,OCO #469535568,,,,,,,.80272,STP,,
,1/21/15 22:29:18,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #469535567,,,,,,,.81072,LMT,,
,,OCO #469535568,,,,,,,,,,
,1/21/15 22:29:18,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,1/21/15 14:54:09,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #469368017,,,,,,,TRG-.004,STP,STD,
,,OCO #469368018,,,,,,,,,,
,1/21/15 14:54:09,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #469368017,,,,,,,,,,
,,OCO #469368018,,,,,,,,,,
,1/21/15 14:54:09,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,.80505,LMT,GTC,CANCELED
,1/21/15 14:51:26,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #469366696,,,,,,,TRG-.40,STP,STD,
,,OCO #469366697,,,,,,,,,,
,1/21/15 14:51:26,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,TRG+.40,LMT,GTC,CANCELED
,,TRG BY #469366696,,,,,,,,,,
,,OCO #469366697,,,,,,,,,,
,1/21/15 14:51:26,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,117.425,LMT,GTC,CANCELED
,1/21/15 11:23:14,FOREX,BUY,TO CLOSE,USD/CAD,,,FOREX,1.23396,LMT,GTC,FILLED
,1/21/15 11:18:16,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,.81159,LMT,GTC,FILLED
,1/21/15 10:25:13,FOREX,BUY,TO CLOSE,USD/CAD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #469239943,,,,,,,TRG+.004,STP,STD,
,,OCO #469239944,,,,,,,1.23455,STP,,
,1/21/15 10:25:13,FOREX,BUY,TO CLOSE,USD/CAD,,,FOREX,TRG-.004,LMT,GTC,CANCELED
,,TRG BY #469239943,,,,,,,1.22655,LMT,,
,,OCO #469239944,,,,,,,,,,
,1/21/15 10:25:13,FOREX,SELL,TO OPEN,USD/CAD,,,FOREX,,MKT,GTC,FILLED
,1/21/15 10:15:27,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #469232103,,,,,,,TRG-.004,STP,STD,
,,OCO #469232104,,,,,,,,,,
,1/21/15 10:15:27,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #469232103,,,,,,,,,,
,,OCO #469232104,,,,,,,,,,
,1/21/15 10:15:27,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,,,,,,,,.8223,STP,STD,
,1/21/15 10:14:37,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #469231083,,,,,,,TRG-.004,STP,STD,
,,OCO #469231084,,,,,,,,,,
,1/21/15 10:14:37,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #469231083,,,,,,,,,,
,,OCO #469231084,,,,,,,,,,
,1/21/15 10:14:37,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,,,,,,,,.8223,STP,STD,
,1/21/15 10:14:00,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #469230664,,,,,,,TRG-.004,STP,STD,
,,OCO #469230665,,,,,,,.81406,STP,,
,1/21/15 10:14:00,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #469230664,,,,,,,.82206,LMT,,
,,OCO #469230665,,,,,,,,,,
,1/21/15 10:14:00,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,1/20/15 23:26:52,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,.83119,LMT,GTC,CANCELED
,,RE #469107179,,,,,,,,,,
,,TRG BY #469107177,,,,,,,,,,
,,OCO #469107178,,,,,,,,,,
